"periodo","departamento","codigo_departamento","puntaje_ingles","max_p_ingles","min_p_ingles","std_ingles","puntaje_mate","max_p_mate","min_p_mate","std_mate","puntaje_soc","max_p_soc","min_p_soc","std_soc","puntaje_nat","max_p_nat","min_p_nat","std_nat","puntaje_lec","max_p_lec","min_p_lec","std_lec","puntaje_global","max_p_global","min_p_global","std_global"
"20171","BOLIVAR","13","85.75968992248062","100.0","69.0","7.996850155098619","70.40310077519379","100.0","48.0","9.452611560308476","68.01550387596899","100","43","8.79718038646122","69.48837209302326","100","44","9.00270469694886","67.40310077519379","100","51","7.313856049313352","350.6744186046512","449","245","34.972123450037344"
"20151","ARAUCA","81","44.69230769230769","49.0","40.0","2.7242500732382213","43.26923076923077","56.0","26.0","6.902507905436645","40.19230769230769","53","31","7.116286845085606","39.23076923076923","56","22","8.613049133995196","46.57692307692308","54","38","4.455765495831906","212.53846153846155","256","172","21.86180371191868"
"20194","CASANARE","85","47.924991590985535","100.0","21.0","10.984477287283319","51.88765556676758","100.0","17.0","11.383461970989991","45.990245543222336","100","18","11.460039674161802","48.487722838883286","100","21","9.957301861421678","51.7874201143626","100","0","10.00545893405841","247.07063572149343","410","103","47.44431085754063"
"20191","BOGOTA","11","81.35036794766967","100.0","23.0","7.196589020160235","71.73385118560915","100.0","30.0","9.032179171248","67.94276369582992","100","23","8.956426830009576","67.66639411283728","100","28","7.75134469753937","69.00817661488144","100","29","7.563171894611726","350.1557645134914","454","152","34.13036269897139"
"20172","LA GUAJIRA","44","44.578794672293284","88.0","0.0","9.903988244242173","44.79823288935778","100.0","19.0","11.408919862525675","45.52815508373995","83","20","10.410448526556683","46.620071211921406","79","25","9.609127109914864","48.93643676645127","82","0","9.677886277023969","231.6807332190426","420","114","45.15894736286589"
"20142","SAN ANDRES","88","56.49607535321821","100.0","30.0","12.992574087850151","48.72684458398744","90.0","21.0","9.789969754549311","48.623233908948194","84","17","10.937901916291844","47.64678178963893","83","23","10.237242859109937","49.72370486656201","84","20","10.596915124306367","246.40188383045526","419","130","44.95821116506511"
"20162","TOLIMA","73","50.56190584618888","100.0","0.0","10.654202746884001","49.313770137189046","87.0","21.0","10.897095856704315","49.396425115272955","100","22","10.207656350903562","51.89269653327261","100","25","9.022240073800377","51.06478055444868","82","0","9.27507411672372","252.1455570103034","448","117","44.227040698271914"
"20142","BOYACA","15","50.59670995670996","100.0","0.0","8.841863531412573","52.22834054834055","100.0","0.0","10.238561386955743","51.721269841269844","93","0","9.970178959612225","52.33350649350649","93","0","9.722194660013123","50.7605772005772","100","0","9.561938451443991","258.35982683982684","458","0","42.360437344454105"
"20152","ARAUCA","81","48.535941156803744","94.0","14.0","8.57982167112126","49.9535272484119","100.0","0.0","11.299192564273111","49.52557673019057","84","3","10.350476914999618","49.85623537278502","100","0","9.353020387625431","48.79505182213307","85","0","8.781810152478231","247.28585757271816","424","20","42.50720415736643"
"20171","CAUCA","19","60.023529411764706","100.0","23.0","13.610235217430915","60.09075630252101","100.0","19.0","12.106645861103237","58.870588235294115","100","27","11.276971804865882","60.56470588235294","100","27","10.823831017007317","59.92941176470588","84","33","9.330720710641598","299.36470588235295","455","156","49.786308660172246"
